ID,Area,Feature,Persona,I want,So that,Expected behavior (acceptance criteria),Key files,Existing tests,Impl status (code-judged),Test result (Phase 2),Issue/Notes (Phase 2-3)
F001,Chat & Messaging,Compose and send a message into the focused thread,the owner,to type a message in the compose footer and send it into the conversation I'm viewing,I can ask the assistant something within an existing thread,"ComposeFooter.tsx submit() trims the textarea value (ComposeFooter.tsx:31), no-ops on empty/whitespace-only input (`if (!trimmed) return`, :32), then calls onSend(trimmed) and clears the box (:33-34). Enter sends, Shift+Enter inserts a newline (handleKey, :42-47); the form's onSubmit also routes to submit(). ChatColumn.onSend (ChatColumn.tsx:253) routes to send(runtime, focusedThreadId, text) when a thread is focused. bridge.send (bridge.ts:109) marks the thread hydrated (so focus-hydrate won't re-fetch), optimistically seeds the turn (a completed `user` message with a single text segment + a streaming `assistant` message with empty segments, seedTurn :44-64), calls client.postMessage(threadId, text) (:120), attaches the returned run_id to the seeded assistant message, and forks the run stream. Core post_message.rs handle() requires a `thread_id` (PostMessageParams, protocol.rs:28); it returns ONLY `{run_id}` (PostMessageResult, post_message.rs:90-92) — the client follows with run/subscribe. Edge: a well-formed but unknown thread_id is rejected with UnknownThread BEFORE any rows are written (post_message.rs:34-39). Edge: an empty composer submit is suppressed client-side; while a run is active the submit early-returns (`if (isRunning) return`, ComposeFooter.tsx:30) so Enter can't fire a second turn. On postMessage failure the seeded assistant message is marked incomplete and a 'Couldn't send your message. Please try again.' alert is shown (bridge.ts:130, ChatColumn.tsx:260-261).",apps/web/src/components/ComposeFooter.tsx:27-54 | apps/web/src/components/ChatColumn.tsx:253-280 | apps/web/src/store/bridge.ts:44-133 | crates/core/src/runs/post_message.rs:22-95 | crates/core/src/protocol.rs:27-31,"tests/e2e/src/interpreter-chat.spec.ts (sends, asserts streamed completion); tests/e2e/src/chat-surface.spec.ts (send replaces welcome); apps/web/src/components/ComposeFooter.test.tsx",implemented,pass,
F002,Chat & Messaging,First message on the welcome screen mints a new thread,the owner,to type my first message with no thread open and have a new conversation created automatically,I can start chatting without first creating a thread,"When focusedThreadId is null (welcome route), ChatColumn.onSend calls sendNewThread(runtime, text) (ChatColumn.tsx:268). bridge.sendNewThread (bridge.ts:142) calls client.threadCreate(text), then on success marks the new thread `ready`, seeds the turn, attaches the run, starts the stream, and returns `{ok:true, threadId}`; ChatColumn then navigates to `/thread/$threadId` (ChatColumn.tsx:270-273). Core ThreadCreateParams carries just `prompt` (protocol.rs:256-259); an empty/whitespace prompt is rejected with invalid_params via the trim-empty guard in handle_thread_create (per protocol.rs:254-255 doc). The thread is pre-seeded and marked ready so the post-navigate remount reads it without a re-hydrate (bridge.ts:153-154). Edge: on threadCreate failure nothing is seeded (no orphaned bubble) and the error alert is shown while staying on `/` (bridge.ts:159-162, ChatColumn.tsx:274-275).",apps/web/src/components/ChatColumn.tsx:263-277 | apps/web/src/store/bridge.ts:142-163 | crates/core/src/protocol.rs:253-268,tests/e2e/src/chat-surface.spec.ts ('replaces the welcome with the transcript after the first send'); tests/e2e/src/thread-routing.spec.ts,implemented,pass,
F003,Chat & Messaging,Watch the assistant's reply stream in token-by-token,the owner,to see the assistant's reply appear progressively as it is generated,I get immediate feedback instead of waiting for the whole answer,"After send, startRunStream (bridge.ts:67) forks client.subscribeRun(runId) and drives each event into applyEvent until a done/error/cancelled terminal (Stream.takeUntil, :84-90). Core run/subscribe replies snapshot-then-tail (subscribe.rs:5-8): the cumulative text rides as ONE text_delta, then live deltas tail. applyEvent's text_delta branch (chat.ts:638-657) honors the ADR-0022 SET-vs-APPEND boundary via the run record's snapshotArmed bit: the FIRST delta after subscribe SETs the cumulative snapshot, subsequent deltas APPEND; the bit is then disarmed (:648-656). The text is threaded into the ordered segments[] timeline (appendTextSegment, chat.ts:444-460): an armed snapshot collapses ALL text segments into one (setCumulativeText, :471-490) so concatText(segments) always equals the flat snapshot; a disarmed append extends the open trailing text segment or opens a fresh one if a tool/proposal just sealed the run. The bubble renders the text segment(s) through ChatMarkdown (ChatColumn.tsx:464). Edge: a broadcast buffer overflow re-snapshots (subscribe.rs:158-159, Lagged arm) so a lagging subscriber recovers the full cumulative text. Edge: the duplicated-prefix bug (concatText='A'+'A B') is specifically prevented by collapsing every text segment on a snapshot SET (chat.ts:436-443 doc).",apps/web/src/store/bridge.ts:67-106 | apps/web/src/store/chat.ts:627-704 | apps/web/src/store/chat.ts:444-490 | crates/core/src/runs/subscribe.rs:34-67 | crates/core/src/protocol.rs:535-554,tests/e2e/src/chat-markdown.spec.ts ('streaming render' describe — gated mid-stream shows partial then full); tests/e2e/src/interpreter-chat.spec.ts,implemented,pass,
F004,Chat & Messaging,"See an assistant turn's pieces (text, tool activity, proposal) in chronological order",the owner,"the tool-activity rows, decided proposal card, and reply text within one assistant turn to appear in the order they actually happened",the conversation reads as a coherent timeline (e.g. the 'Applied.' pill above the reply it preceded),"The wire MessageView carries an ordered `segments[]` (protocol.rs:499-506) — a `#[serde(tag=""kind"")]` union of Text / ToolCall{name,status,arg?} / Proposal{proposal_id,mutation_kind,status,entity_id?} (Segment, protocol.rs:459-490) — replacing the old three independent buckets, sequenced by run_steps (ADR-0045). AssistantBubble (ChatColumn.tsx:418) maps segments through toRenderGroups (:399-416), which coalesces consecutive tool_call segments into one ToolActivity group while keeping text/proposal segments between them in arrival order, then renders each group in order: tools→ToolActivity, proposal→AssistantProposals, text→ChatMarkdown (:444-467). Live and reloaded renders are byte-for-byte the same component path: live builders (appendTextSegment, upsertToolSegment, appendProposalSegment in chat.ts) build the same shape the wire carries; hydration maps wire segments verbatim (hydrate.ts toSegment :39-61, toMessage :67-85). Edge: a tool_call segment carries no durable id, so hydration synthesizes a stable `<messageId>:seg:<i>` React key (hydrate.ts:51); a rehydrated tool call is never `running` (toToolCallStatus settles to completed/error, :28-30). Edge: proposal tool calls are NOT emitted as ToolCall segments — they become a Proposal segment (protocol.rs:466-468).",crates/core/src/protocol.rs:449-506 | apps/web/src/components/ChatColumn.tsx:388-467 | apps/web/src/store/chat.ts:22-25 | apps/web/src/store/hydrate.ts:39-85 | docs/adr/0045-assistant-turn-segment-timeline.md,"tests/e2e/src/segment-timeline-reload.spec.ts (pill-above-reply order, live + reload); tests/e2e/src/tool-activity-reload.spec.ts; tests/e2e/src/proposal-decided-reload.spec.ts",implemented,pass,
F005,Chat & Messaging,Read assistant replies as formatted markdown,the owner,"the assistant's reply rendered with headings, lists, tables, code blocks, and links rather than raw markdown text",structured answers are legible,"ChatMarkdown.tsx renders the text segment through ReactMarkdown with the remark-gfm plugin (ChatMarkdown.tsx:1-16), so GFM constructs (tables, etc.) render as real HTML. Links are overridden to open in a new tab safely: every `<a>` gets target=""_blank"" rel=""noreferrer noopener"" (ChatMarkdown.tsx:9-11). AssistantBubble wraps each text group in a `prose prose-pink dark:prose-invert` container (ChatColumn.tsx:462). Markdown renders the same whether streaming or completed (the text group always routes through ChatMarkdown). Edge: links carry both noreferrer and noopener so opened tabs can't reach window.opener.",apps/web/src/components/ChatMarkdown.tsx:1-17 | apps/web/src/components/ChatColumn.tsx:457-466,"tests/e2e/src/chat-markdown.spec.ts ('assistant markdown reply renders as formatted HTML' — real h1, GFM table, a[target=_blank] rel~=noreferrer); tests/e2e/src/chat-markdown-gallery.spec.ts",implemented,pass,
F006,Chat & Messaging,See a typing indicator before the assistant's first text arrives,the owner,an animated typing indicator while the assistant is working but has produced no text yet,I know the assistant is responding before any words appear,"AssistantBubble shows a three-dot pulsing typing indicator only when message.status === 'streaming' AND the derived flat text (concatText(segments)) is empty AND no tool call is currently running (ChatColumn.tsx:468-479). It carries role='status', aria-label='Assistant is typing', data-testid='typing-indicator'. Once any text segment arrives (text !== '') or a tool starts running, the indicator disappears. Edge: when the first chunk already carries text (e.g. a 2-chunk echo whose chunk 1 is non-empty) the empty-text window never opens, so the indicator is not observable — asserted only by ABSENCE in e2e (chat-markdown.spec.ts:96-101 doc). The animation is gated on motion-safe for reduced-motion users (:475-477).",apps/web/src/components/ChatColumn.tsx:429-432 | apps/web/src/components/ChatColumn.tsx:468-479,tests/e2e/src/chat-markdown.spec.ts (asserts indicator ABSENT once text present); the empty-text-visible case noted as covered authoritatively by a vitest test (chat-markdown.spec.ts:96-101 doc),implemented,pass,
F007,Chat & Messaging,Copy a completed assistant reply to the clipboard,the owner,a copy button on a finished assistant reply that copies its text,I can paste the answer elsewhere,"AssistantBubble renders a CopyButton only when message.status === 'completed' AND the derived flat text length > 0 (ChatColumn.tsx:480-484); it lives in a hover/focus-revealed container (opacity-0 → group-hover/focus-within opacity-100). The copied text is concatText(message.segments) — the single source of truth derived from the text segments (ChatColumn.tsx:429, ADR-0045: no denormalized flat text). CopyButton.tsx calls useCopyToClipboard().copy(text) (CopyButton.tsx:13-15), which does navigator.clipboard.writeText and flips `copied` true for 2000ms (useCopyToClipboard.ts:14-19), swapping the Copy glyph for a Check (CopyButton.tsx:18-23, aria-label 'Copy'). Edge: the reset timer is cleared on unmount and re-cleared on a repeat copy (useCopyToClipboard.ts:8-17). Edge: a streaming or incomplete reply shows NO copy button; only completed+non-empty does.",apps/web/src/components/ChatColumn.tsx:480-484 | apps/web/src/components/CopyButton.tsx:6-25 | apps/web/src/lib/hooks/useCopyToClipboard.ts:4-22,"tests/e2e/src/chat-markdown.spec.ts ('copy button' describe — clicking copy writes reply text to clipboard, asserted via clipboardText())",implemented,pass,
F008,Chat & Messaging,Stop a running or parked assistant turn from the composer,the owner,the Send button to become a Stop button while a turn is active so I can cancel it,I can interrupt a long or unwanted response,"ComposeFooter swaps the Send icon button (ArrowUp, aria-label 'Send', type='submit') for a Stop icon button (Square, aria-label 'Stop', type='button') when isRunning is true (ComposeFooter.tsx:99-118). ChatColumn passes isRunning = activeRunId !== null (ChatColumn.tsx:249); activeRunId is set while a Run streams AND while it's parked awaiting a Proposal (only a terminal Run Event clears it, ChatColumn.tsx:46-48). onStop calls cancelRun(runtime, activeRunId) (:250-252). bridge.cancelRun (bridge.ts:206) fires run/cancel and settles the UI off the authoritative outcome: it interrupts the subscribe fiber, applies a synthetic `cancelled` event, and clears any pending proposal (:248-250) — EXCEPT `already_terminal` on a non-parked run, where the live stream owns the real terminal (:242-244). Edge: `unknown_run` still settles (Core has no hub, so no event will come — bailing would wedge Stop, bridge.ts:202-203 doc). Edge: a parked run always settles since it has no live tail. Edge: a failed run/cancel request leaves the run as-is (best-effort, bridge.ts:218-221). While running, Enter/submit can't start a second turn (ComposeFooter.tsx:30).",apps/web/src/components/ComposeFooter.tsx:99-118 | apps/web/src/components/ChatColumn.tsx:248-252 | apps/web/src/store/bridge.ts:192-251 | crates/core/src/protocol.rs:51-62,tests/e2e/src/run-cancel-ui.spec.ts; tests/e2e/src/page-objects/ChatPage.ts (stop() helper),implemented,pass,
F009,Chat & Messaging,See model/effort pickers and disabled Search/Attach in the composer,the owner,the composer to offer model and effort selection and show that web search and attachments are coming,I can tune the response and understand which capabilities exist,"ComposeFooter renders a ModelPicker and EffortPicker (ComposeFooter.tsx:76-77) plus two DISABLED chip buttons: Search (aria-label 'Search (coming soon)', title 'Web search isn\'t available yet', :78-87) and Attach (aria-label 'Attach (coming soon)', title 'Attachments aren\'t available yet', :88-97). The composer chrome is click-to-focus: clicking the form (but not a nested control) focuses the textarea (focusTextarea, :49-54). The textarea is a single auto-resizing row with placeholder 'Type your message here…' and aria-label 'Message' (:64-72). Edge: Search and Attach are non-functional stubs surfaced only to communicate roadmap; clicking them does nothing.",apps/web/src/components/ComposeFooter.tsx:56-122,apps/web/src/components/ComposeFooter.test.tsx,partial,pass,
F010,Chat & Messaging,Land on a first-run welcome that teaches the chat→Library loop,the owner,a helpful welcome screen when no thread is open and there are no messages,I understand what Inkstone does and how to begin,"ChatColumn computes showWelcome = focusedThreadId === null && messages.length === 0 (ChatColumn.tsx:64-65) and renders ChatWelcome (:207-208), an EmptyState (Sparkles icon, brand tone, lg size) titled 'Start a chat' explaining Inkstone drafts journal entries and structured items that land in the Library once approved (ChatWelcome :287-298). It animates in via motion-safe:animate-rise. The welcome is replaced by the transcript after the first send (the optimistic seed makes messages non-empty). Edge: a focused-but-empty thread does NOT show the welcome (showWelcome requires focusedThreadId === null) — it shows the hydration skeleton/error/not-found instead.",apps/web/src/components/ChatColumn.tsx:64-65 | apps/web/src/components/ChatColumn.tsx:286-299 | docs/adr/0010-mvp-slice-chat-driven-web-client.md,"tests/e2e/src/chat-surface.spec.ts ('opens with the first-run welcome', 'replaces the welcome with the transcript after the first send')",implemented,pass,
