Defect ID,Area,Kind,Severity,Title,User impact,Suggested fix,Fix status,Defer reason / notes
D01,Run Control,error-state,high,"WebSocket drop mid-stream leaves the assistant bubble stuck ""typing"" forever with an active, useless Stop button","If the WS connection drops while a reply is streaming (laptop sleeps, Core restarts, network blip), the assistant bubble keeps showing the animated typing indicator indefinitely and the composer keeps showing the Stop (Square) button as if the run were live. The user has no signal that anything went wrong, cannot send a new message (Enter is swallowed while isRunning), and clicking Stop does nothing useful. The run never resolves to an error/retry state.","In `startRunStream`, add a failure handler on the stream program (e.g. `.pipe(Effect.catchAll(() => Effect.sync(() => applyEvent(threadId, runId, { kind: ""error"", message: ""Lost connection before this reply finished. Try again."" }))))`) so a dropped/failed subscribe settles the bubble to `incomplete`, clears `activeRunId`, and frees Stop. Even better, drive a reconnect-and-resubscribe, but at minimum the bubble must leave the streaming state on stream failure.",fixed,
D02,Run History,bug,high,"Runs feed never updates when a Run finishes — rows stay stuck on ""Running""/""Waiting"" until the next message is sent","A user starts a chat; the right-rail Runs feed shows the run as ""Running"" (spinner). The agent finishes seconds later — the chat bubble completes, but the feed row keeps showing ""Running"" indefinitely. It only flips to ""Done""/""Failed"" the next time the user sends a message, retries, or reloads. The feed silently lies about live state, which is the whole point of a recency feed.","In store/chat.ts settleTerminal (or wherever the terminal run event is observed at the React boundary), invalidate the [""run-history""] query when a run reaches a terminal kind. Simplest: have the stream consumer that drives applyEvent also call queryClient.invalidateQueries({queryKey:[""run-history""]}) on terminal events, mirroring the send/retry paths.",fixed,
D03,Chat & Shell,error-state,medium,"Stopping a run shows a red error-styled ""alert"" box, framing a deliberate action as a failure","When the user clicks the Stop (Square) button to cancel a streaming reply — a normal, intentional action — the assistant turn renders inside a red destructive-bordered box reading ""This reply stopped before it finished. Nothing was saved without your approval."" with a ""Try again"" button. Visually and to screen readers (role=""alert"") this is identical to a genuine model/transport error, so a user who intentionally stopped is told something went wrong.","Distinguish cancellation from failure: carry a flag (e.g. `cancelled: true`) on the cancelled-settled message and render it in a calm/muted style (""Stopped."") rather than the destructive alert box, reserving the red `role=""alert""` treatment for the `error` branch.",fixed,
D04,Chat & Shell,ux,medium,Long unbroken text in a message bubble overflows and is clipped (no word-breaking),"A user message (or assistant reply) containing a long unbroken token — a pasted URL, file path, hash, or long string with no spaces — overflows its bubble. The chat scroller is vertical-only and the surface is `overflow-hidden`, so the overflowing text is clipped and partially invisible rather than wrapping; the user can never see the full content.",Add `break-words` (overflow-wrap: anywhere) to the user bubble inner div and the assistant prose container so unbreakable tokens wrap inside the bubble instead of overflowing the clipped surface.,fixed,
D05,Global States,error-state,medium,"Sidebar shows ""No threads yet."" when Core is down — identical to a genuinely empty workspace","A returning user who has many threads, but whose Core/WS is down (process not running, or connection dropped after 5 failed reconnects), opens the app and sees the sidebar say ""No threads yet."" — exactly the same as a brand-new empty account. Their entire conversation history appears to have silently vanished, with no error, no retry, and no hint that the data merely failed to load. Alarming for a local-first app whose promise is ""your data is safe on disk.""","Destructure `isError` (and `isPending`) from useThreads in Sidebar.tsx and add an error branch distinct from the empty branch (mirror RunFeed's FeedError: a calm ""Couldn't load your threads"" line + Try again calling `refetch`), so Core-down looks different from a truly empty workspace.",fixed,
D06,Global States,error-state,medium,"Library always shows first-run empty state when Core is down; the authored ""Couldn't load"" error branch is dead","When Core/WS is unreachable, opening any Library collection shows the friendly first-run empty state (e.g. ""No journal entries yet — Use New … to add one, or accept a proposal suggested from chats."") instead of an error. A user with a populated Library sees it appear empty, with a 0 count badge, and is even invited to start adding items — with zero indication the data failed to load.",Let useLibraryItems reject on Core-unreachable (remove the catch-to-[] or gate it to a preview-only flag) so the query's `isError` becomes true and the already-written EntityCollection error branch renders. Keep strict per-row validation as a separate guard that does not mask the connection failure.,fixed,
D07,Global States,error-state,medium,"No global error boundary / router errorComponent, and no reconnect banner when the WS drops","Two related gaps. (1) If any component throws during render the user falls back to TanStack Router's bare built-in error UI — no Inkstone chrome, no styling, no friendly reload affordance — and an error thrown outside the router boundary (provider init / main.tsx) white-screens entirely. (2) When the live WS connection drops and the SDK exhausts its 5 bounded reconnect retries, nothing tells the user the app is now offline; they discover it only one failed action at a time.","Add `defaultErrorComponent` (and `defaultNotFoundComponent`) to createRouter in main.tsx rendering a styled EmptyState (tone=""danger"") with a Reload action so render crashes stay in the app's look-and-feel. Separately, surface a lightweight global aria-live ""Connection lost — reconnecting…"" / ""Couldn't reach Inkstone"" banner driven off the SDK connection lifecycle once reconnect retries are exhausted.",fixed,
D08,GTD Views,bug,medium,"Todos due TODAY are shown as ""Overdue"" all day (midnight-stored due_at vs to-the-second now)","Every todo the user sets a due date on via the editor is stored at midnight of that day. From the moment past midnight until 23:59 of its due day, the todo is flagged with the red ""Overdue"" badge in the Today ""Due soon"" list, the Waiting list, and the todo detail panel — even though it is due today and not actually late. A user who set something due ""today"" sees a scary red Overdue chip in the morning, which is wrong and erodes trust in the views.","Make overdue a to-the-day comparison consistent with how due dates are stored and how `dueSoonTodos` already works: in `todoIsOverdue` compare `todo.dueAt.slice(0,10) < now.slice(0,10)` (or normalize the stored due_at to end-of-day). Then a todo due today is ""due today"", and only a strictly-earlier day reads ""Overdue"". Optionally add a distinct ""Due today"" chip state.",fixed,
D09,GTD Views,ux,medium,Overdue DueChip hides the due date entirely in list rows,"In the Today ""Due soon"" list and any todo list row, an overdue todo's chip renders only the word ""Overdue"" and drops the date. When several todos are overdue they all show an identical ""Overdue"" pill with no date, so the user cannot tell whether something is 1 day or 3 weeks overdue, and the row subtitle shows only the project name — the due date is nowhere on the row.","Show the date alongside the overdue marker, e.g. `Overdue · {due}` (matching the detail panel's `Overdue · ` format at EntityDetail.tsx:867), so overdue rows remain distinguishable and dated.",fixed,
D10,Library / CRUD,a11y,medium,Required-field guard on editors has no inline message or a11y association — Save just silently disables,"In New/Edit Person, Project, Bookmark, Todo and Journal Entry, clearing the required field (Name / Title / Body / Occurred-at) disables the Save button at 50% opacity with no visible reason and nothing announced to assistive tech. A keyboard or screen-reader user cannot tell which field is required or why Save won't work; the field carries no required/aria-required marker and the disabled Save has no aria-describedby pointing at an explanation.","Mark the required input with aria-required and (when empty) aria-invalid, and render a short hint (e.g. ""Add a name to save"") with an id wired to the input via aria-describedby — mirroring the recurrence-hint pattern already in TodoEditor. This makes the disabled-Save reason visible and announced.",fixed,
D11,Library / CRUD,bug,medium,Deleting an entity from Today / Inbox / Waiting / Review yanks the user into a different collection,"A user viewing a Todo's detail from the Inbox (or Waiting), or a Project from Today / Review, and clicking Delete is silently navigated OUT of the view they were in and dropped onto the kind's full collection page (e.g. delete a Todo from Inbox → land on /library/todos). They lose their place and their filtered context with no indication why the page changed.","On delete success, stay on the current route and only drop ?id. Instead of navigating to the kind's collection, navigate to the current pathname with search:{} (e.g. use the router's current location, or pass a route-supplied onDeleted/closeDetail callback down to InspectorShell the way route.tsx already passes closeCreate/openCreated to the create editor), so the rail returns to empty without changing collections.",fixed,
D12,Markdown & Copy,error-state,medium,Copy button fails silently when clipboard write is rejected,"If the Clipboard API rejects (permission denied, document not focused, non-secure context / http origin, or a browser without navigator.clipboard), clicking Copy does nothing the user can see: the icon never changes to the check, no error appears, and the user believes the reply was copied when it was not. They paste stale/empty content elsewhere.","Wrap the writeText in try/catch inside `copy`; on failure surface a visible error state (e.g. return/expose an `error` flag the button can render, or fall back to a toast). At minimum, attach a `.catch` in CopyButton so the rejection is handled and the user is told copy failed.",fixed,
D13,Proposal Card,error-state,medium,Journal-entry edit form gives no hint of the required date-time format until after you type it wrong,"Editing a proposed Journal Entry exposes 'Occurred at' and 'Ended at' as bare text boxes. There is no placeholder, no example, and no inline hint that the value must be `YYYY-MM-DDTHH:MM:SS`. The user only discovers the required shape after typing something natural (e.g. 'June 21 3pm'), which silently disables Save and then surfaces the alert 'Edit required fields: occurred at must use YYYY-MM-DDTHH:MM:SS.' On the approval surface this turns a simple time correction into trial-and-error.","Pass placeholder=""YYYY-MM-DDTHH:MM:SS"" (or a concrete example like 2026-06-21T15:00:00) to the Occurred at / Ended at EditorInputs, or add a small muted hint line under the labels, so the format is visible before the user types.",fixed,
D14,Recurrence / Todo Editor,ux,medium,Completing a recurring todo silently spawns a successor with no UI explanation,"A user marks a repeating todo complete (via the editor's Status select, or the review view's check circle). Core advances the anchor by interval x unit and spawns a brand-new successor todo. The user is told nothing: the completed todo just shows a 'Completed' badge, and a new (seemingly duplicate) todo appears elsewhere in the list with no link back, no toast, no note that it was auto-generated. This is confusing for a first-time user ('why did my todo come back / why are there two?') and the relationship between the two is invisible.","On a successful completion of a todo whose `recurrence` is set, surface a one-line confirmation (e.g. a toast 'Repeat created: next due <date>') and/or a 'Next occurrence' link in the completed todo's inspector body, so the spawned successor is discoverable rather than appearing as a mystery duplicate.",deferred,Server-authoritative: only Core knows if a successor was actually spawned (an after_count series ending spawns none). A client-side guess would lie. Clean fix = contract slice adding a spawned-successor signal to EntityMutateResult through the parity gate.
D15,Recurrence / Todo Editor,ux,medium,Recurrence end condition (until / after_count) is silently present but never shown or editable,"A recurring todo created elsewhere (e.g. by the chat/AI agent) can carry an end condition: 'repeats weekly until 2026-12-31' or 'repeats daily for 5 times'. In the Library the user sees only the badge 'Repeats weekly' and an editor with Every/Unit/Anchor. The end condition is completely hidden: it is not displayed in the inspector, not shown in the editor, and there is no control to view, change, or remove it. The user cannot tell the repeat will ever stop, and cannot edit when it stops.","At minimum, append the end condition to `recurrenceSummary` (e.g. 'Repeats weekly until Dec 31, 2026' / 'Repeats daily, 5 times') so the user can see it. Ideally add a read/edit control in TodoEditor for the end condition instead of only stashing it.",fixed,
D16,Run Control,error-state,medium,No connection-status surface: the user is never told the app is offline or reconnecting,"There is no global indicator that the WebSocket has dropped, is retrying, or has permanently failed. During the retry window (up to 5 exponential-backoff attempts) and after it gives up, the user sees a normal-looking UI; sends silently block on the writer latch (waiting for a connection that may never come) or fail with a generic ""Couldn't send your message. Please try again."" with no hint that the underlying cause is a lost connection.","Expose a connection-status signal from the SDK layer (connected / reconnecting / disconnected) and render a small global banner or toast (e.g. ""Reconnecting…"" / ""Lost connection to Inkstone""). Wire send failures whose cause is `connection_lost` to a connection-specific message rather than the generic retry copy.",fixed,
